Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,RYM Ratings,Reviews
97,M.O.T.O.,Bolt,1986,"Power Pop, Garage Punk",3.75,93,,3
98,Sword,Metalized,1986,"Heavy Metal, US Power Metal",3.66,377,,17
99,The Triffids,In the Pines,Nov-86,"Indie Rock, Alt-Country",3.67,621,,24
100,Stormwitch,Stronger Than Heaven,1986,Heavy Metal,3.68,320,,2
101,Robyn Hitchcock and The Egyptians,Element of Light,Oct-86,"Jangle Pop, Psychedelic Pop",3.69,485,,17
102,Spacemen 3,Sound of Confusion,Jul-86,"Neo-Psychedelia, Space Rock, Garage Rock",3.65,1860,,40
103,The Triffids,Born Sandy Devotional,Jun-86,Jangle Pop,3.66,1456,,47
104,Dwight Yoakam,"Guitars, Cadillacs, Etc., Etc.",19-Aug-86,"Bakersfield Sound, Neo-Traditionalist Country",3.67,678,,16
105,Legião Urbana,Dois,Jul-86,Post-Punk,3.65,858,,5
106,Univers Zéro,Heatwave,1986,Rock in Opposition,3.69,562,,7
107,Flotsam and Jetsam,Doomsday for the Deceiver,4-Jul-86,"Thrash Metal, Speed Metal",3.65,1458,,48
108,The Housemartins,London 0 Hull 4,Jul-86,Jangle Pop,3.65,1435,,39
109,Diamanda Galás,The Divine Punishment,30-Jun-86,Experimental,3.64,1069,,20
110,FM,Indiscreet,1986,AOR,3.67,217,,13
111,NoMeansNo,Sex Mad,1986,"Post-Hardcore, Hardcore Punk",3.66,910,,13
112,Siren,No Place Like Home,1986,"Heavy Metal, Progressive Metal, US Power Metal",3.69,149,,7
113,Run-D.M.C.,Raising Hell,18-Jul-86,"East Coast Hip Hop, Hardcore Hip Hop, Mid-School Hip Hop",3.63,3701,,79
114,Heir Apparent,Graceful Inheritance,Jan-86,"Heavy Metal, US Power Metal, Power Metal",3.65,418,,6
115,London Sinfonietta / Philharmonia Orchestra / Charles Dutoit / Cristina Ortiz / Pascal Rogé,Carnaval des animaux ; Danse macabre etc.,11-Oct-86,"Romanticism, Tone Poem",3.7,167,,3
116,Felt,Forever Breathes the Lonely Word,Sep-86,"Jangle Pop, Indie Pop",3.64,2648,,51
117,Game Theory,The Big Shot Chronicles,Nov-86,"Power Pop, Paisley Underground, Jangle Pop",3.66,619,,22
118,Tommy Keene,Songs From the Film,1986,"Power Pop, Jangle Pop",3.71,160,,6
119,Omen,The Curse,Oct-86,"Heavy Metal, US Power Metal, Power Metal",3.65,373,,8
120,久石譲 [Joe Hisaishi],天空の城ラピュタ イメージ・アルバム — 空から降ってきた少女 (Tenkū no shiro Laputa / Castle in the Sky - Image Album),25-May-86,"Film Score, Neoclassical New Age",3.81,56,,1
1,Prince,"Sign ""☮︎"" the Times",30-Mar-87,"Contemporary R&B, Pop Rock, Funk Rock",4.03,8659,,187
2,Sonic Youth,Sister,Jun-87,"Noise Rock, Alternative Rock",3.92,14141,,191
3,Dinosaur,You're Living All Over Me,Jul-87,"Noise Rock, Indie Rock, Alternative Rock, Lo-Fi / Slacker Rock",3.88,14631,,212
4,Dead Can Dance,Within the Realm of a Dying Sun,Jul-87,Neoclassical Darkwave,3.89,8293,,123
5,Wiener Philharmoniker / Wiener Singverein / Herbert von Karajan / Anna Tomowa-Sintow / Helga Müller-Molinari / Vinson Cole / Paata Burchuladze,Requiem,1987,"Choral, Classical Period, Christian Liturgical Music",3.92,884,,8
6,Orchestra del Teatro alla Scala / Carlo Maria Giulini / Vladimir Horowitz,Horowitz Plays Mozart,1987,"Classical Period, Concerto",4.04,51,,1
7,Candlemass,Nightfall,9-Nov-87,"Traditional Doom Metal, Epic Doom Metal, Doom Metal",3.86,4397,,71
8,Bathory,Under the Sign of the Black Mark,11-May-87,Black Metal,3.85,5972,,77
9,King Diamond,Abigail,15-Jun-87,Heavy Metal,3.85,4139,,102
10,New York Philharmonic / Leonard Bernstein,"Symphony No. 6 ""Pathétique""",Feb-87,"Romanticism, Symphony",3.92,216,,3
11,Swans,Children of God,19-Oct-87,"Experimental Rock, Post-Punk, Gothic Rock",3.81,10434,,115
12,Depeche Mode,Music for the Masses,28-Sep-87,Synthpop,3.82,8617,,141
13,New Stockholm Chamber Orchestra / Lev MarkizStockholms nya kammarorkesterLev Markiz,Concerto grosso I; Concerto for Oboe and Harp; Concerto for Piano and Strings,Jan-87,"Concerto, Serialism, Modern Classical, Chamber Music",3.89,258,,4
14,Orchestre symphonique de Montréal / Charles Dutoit,The Planets,Apr-87,"Modern Classical, Orchestral",3.9,174,,4
15,Boston Symphony Orchestra / Seiji Ozawa,Romeo & Juliet: Complete Recording,Oct-87,Modern Classical,4.02,NA,NA,NA
16,Manilla Road,Mystification,17-Jun-87,"Heavy Metal, US Power Metal",3.83,1092,,16
17,Tom Waits,Franks Wild Years,17-Aug-87,"Singer/Songwriter, Dark Cabaret",3.82,5300,,93
18,Savatage,Hall of the Mountain King,28-Sep-87,"Heavy Metal, US Power Metal",3.82,2443,,56
19,Helloween,Keeper of the Seven Keys Part I,23-May-87,Power Metal,3.78,4788,,86
20,Marillion,Clutching at Straws,12-Jun-87,Neo-Prog,3.82,2551,,91
21,U2,The Joshua Tree,9-Mar-87,"Pop Rock, Alternative Rock",3.72,14121,,380
22,The Smiths,"Strangeways, Here We Come",22-Sep-87,"Jangle Pop, Indie Pop",3.75,13761,,212
23,Testament,The Legacy,7-Jul-87,Thrash Metal,3.8,4043,,104
24,Sodom,Persecution Mania,1-Dec-87,Thrash Metal,3.81,2959,,52
25,John Eliot Gardiner,L'Orfeo,11-Sep-87,"Opera, Baroque Music",3.87,207,,3
26,Eric B. & Rakim,Paid In Full,7-Jul-87,"East Coast Hip Hop, Boom Bap",3.77,6834,,178
27,The USSR Ministry of Culture Symphony Orchestra / Gennadi RozhdestvenskyГосударственный Симфонический Оркестр Министерства Культуры СССР [USSR Ministry of Culture Orchestra]Геннадий Рождественский [Gennady Rozhdestvensky],Symphony No. 1,1987,"Symphony, Modern Classical",3.82,209,,2
28,Wiener Philharmoniker / Herbert von Karajan / Mirella Freni / Luciano Pavarotti / Christa Ludwig / Robert Kerns,Madama Butterfly,1987,"Opera, Romanticism",3.97,55,,1
29,Voivod,Killing Technology,3-Apr-87,"Thrash Metal, Technical Thrash Metal",3.78,2855,,50
30,David Sylvian,Secrets of the Beehive,7-Nov-87,"Art Pop, Ambient Pop",3.77,4239,,90
31,The Replacements,Pleased to Meet Me,27-Apr-87,"Alternative Rock, Power Pop",3.77,4019,,78
32,Zakir Hussain & Shivkumar Sharma,Rag Madhuvanti and Rag Misra Tilang,1987,Hindustani Classical Music,3.82,480,,2
33,The Sisters of Mercy,Floodland,13-Nov-87,Gothic Rock,3.76,4573,,77
34,Alban Berg Quartett,String Quartets Nos. 1-6,1987,"Modern Classical, Chamber Music",3.85,108,,1
35,R.E.M.,Document,31-Aug-87,"Alternative Rock, Jangle Pop",3.73,7681,,143
36,Spacemen 3,The Perfect Prescription,Sep-87,"Neo-Psychedelia, Space Rock",3.74,4621,,98
37,Overkill,Taking Over,Mar-87,Thrash Metal,3.76,1779,,52
38,City of Birmingham Symphony Orchestra / CBSO Chorus / Simon Rattle / Arleen Auger / Janet Baker,Symphony No. 2,5-Oct-87,"Symphony, Romanticism",3.85,83,,5
39,Ramleh,Hole in the Heart,1987,Death Industrial,3.75,3343,,35
40,Anthrax,Among the Living,22-Mar-87,Thrash Metal,3.71,6688,,164
41,London Symphony Orchestra / The Ambrosian Singers / Claudio Abbado / Teresa Berganza / Plácido Domingo / Ileana Cotrubas / Sherrill MilnesLondon Symphony OrchestraAmbrosian SingersClaudio AbbadoTeresa BerganzaPlácido DomingoIleana CotrubasSherrill Milnes,Carmen,Oct-87,"Opera, Romanticism",3.85,79,,2
42,The Stuttgart State Opera Orchestra & Chorus / Dennis Russel DaviesStaatsoper StuttgartDennis Russell Davies,Akhnaten,1987,"Opera, Post-Minimalism",3.78,406,,9
43,The Tallis Scholars / Peter Phillips,Requiem / Versa est in luctum,1987,"Renaissance Music, Choral, Christian Liturgical Music",3.83,109,,1
44,Big Black,Songs About Fucking,10-Sep-87,"Noise Rock, Post-Hardcore",3.69,11387,,149
45,English Baroque Soloists / Monteverdi Choir / John Eliot Gardiner / Barbara Bonney / Anne Sofie von Otter / Hans Peter Blochwitz / Willard White,Requiem; Kyrie KV 341,20-Aug-87,"Classical Period, Choral, Christian Liturgical Music",3.85,NA,NA,NA
46,Death Angel,The Ultra-Violence,23-Apr-87,Thrash Metal,3.74,2011,,32
47,Various Artists,Les Misérables [Original Broadway Cast],1987,Show Tunes,3.86,103,,8
48,El Último de la Fila,Nuevas mezclas,1987,Pop Rock,3.79,178,,7
49,The Jesus and Mary Chain,Darklands,31-Aug-87,Alternative Rock,3.71,6854,,98
50,Kult,Posłuchaj to do ciebie,Oct-87,Post-Punk,3.76,916,,11
51,Philharmonia Orchestra / SWR Sinfonieorchester / Krzysztof Penderecki / Mstislav RostropovichPhilharmonia OrchestraSWR SinfonieorchesterKrzysztof PendereckiМстислав Ростропович [Mstislav Rostropovich],Concerto for Cello and Orchestra No. 2; Partita,1987,"Modern Classical, Concerto",3.92,47,,3
52,Kreator,Terrible Certainty,22-Sep-87,Thrash Metal,3.72,2370,,52
53,Andrew Lloyd Webber,The Phantom of the Opera,20-Mar-87,Show Tunes,3.71,514,,20
54,久石譲 [Joe Hisaishi],となりのトトロ イメージソング集 (Tonari no Totoro),25-Nov-87,"Film Soundtrack, Film Score, Pop",3.79,122,,1
55,Roy Orbison,In Dreams: The Greatest Hits,1987,Pop Rock,3.8,117,,7
56,Virus,Superficies de placer,1987,New Wave,3.76,322,,3
57,Pet Shop Boys,Actually,7-Sep-87,Synthpop,3.71,3528,,58
58,Pentagram,Day of Reckoning,Jun-87,"Traditional Doom Metal, Doom Metal",3.72,1615,,36
59,Pat Metheny Group,Still Life (Talking),1987,Jazz Fusion,3.73,950,,18
60,Death,Scream Bloody Gore,25-May-87,Death Metal,3.67,7671,,138
61,Maryvonne Le Dizès-Richard / Alain Damiens / Pierre-Laurent Aimard / Pierre Strauch,Quatuor pour la fin du temps,1987,"Modern Classical, Chamber Music",3.86,63,,5
62,Sepultura,Schizophrenia,30-Oct-87,Thrash Metal,3.68,3401,,56
63,The Dukes of Stratosphear,Psonic Psunspot,3-Aug-87,"Psychedelic Pop, Neo-Psychedelia",3.72,1255,,19
64,Sinéad O'Connor,The Lion and the Cobra,4-Nov-87,"Art Pop, Pop Rock, Singer/Songwriter",3.7,1906,,63
65,Alice Coltrane-Turiyasangitananda,Divine Songs,1987,"New Age, New Age Kirtan",3.73,402,,3
66,Les Saqueboutiers / La Chapelle Royale / Collegium Vocale Gent / Philippe Herreweghe,Vespro della Beata Vergine,1987,"Renaissance Music, Christian Liturgical Music, Baroque Music, Choral",3.84,NA,NA,NA
67,Pep Llopis,Poiemusia la nau dels argonautes,1987,Post-Minimalism,3.75,230,,2
68,Charly García,Parte de la religión,1987,"New Wave, Pop Rock, Singer/Songwriter",3.73,465,,6
69,Brass Ensemble Staatsorchester Stuttgart / The Hilliard Ensemble / Dennis Russell Davies / Gidon Kremer / Vladimir Mendelssohn / Thomas Demenga,Arbos,May-87,"Modern Classical, Minimalism",3.72,415,,3
70,Slaughter,Strappado,1987,Thrash Metal,3.7,964,,26
71,Sacrifice,Forward to Termination,12-Oct-87,Thrash Metal,3.69,670,,12
72,Michael Jackson,Bad,25-Aug-87,"Dance-Pop, Contemporary R&B, Pop",3.62,8348,,153
73,Go-Betweens,Tallulah,Jun-87,"Jangle Pop, Indie Pop",3.71,997,,32
74,Paco de Lucía,Siroco,1987,Flamenco,3.73,305,,11
75,Dark Quarterer,Dark Quarterer,1987,Heavy Metal,3.68,605,,17
76,Basil Poledouris,RoboCop,1987,"Film Score, Cinematic Classical",3.74,166,,1
77,Running Wild,Under Jolly Roger,Feb-87,"Heavy Metal, Power Metal",3.68,1235,,26
78,Hüsker Dü,Warehouse: Songs and Stories,19-Jan-87,Alternative Rock,3.68,2767,,81
79,Infernäl Mäjesty,None Shall Defy,1987,Thrash Metal,3.69,718,,14
80,Браво,Браво,1987,"Rockabilly, Pop Rock",3.71,194,,2
81,Guns n' Roses,Appetite for Destruction,21-Jul-87,Hard Rock,3.53,16173,,612
82,The Cure,Kiss Me Kiss Me Kiss Me,25-May-87,"Post-Punk, Alternative Rock",3.64,9634,,159
83,Poison,Into the Abyss...,1987,"Thrash Metal, Death Metal",3.67,744,,17
84,"Ryuichi Sakamoto, David Byrne and Cong SuRyuichi SakamotoDavid Byrne Cong Su",The Last Emperor,21-Jan-87,"Film Score, Cinematic Classical, Orchestral",3.71,448,,6
85,William Sheller,Univers,19-Jan-87,"Chanson, Baroque Pop",3.83,NA,NA,NA
86,Paul Kelly and the Coloured Girls,Under the Sun,1987,Rock,3.74,157,,6
87,Výběr,Výběr,1987,New Wave,3.79,71,,3
88,Patife Band,Corredor polonês,1987,"Post-Punk, Vanguarda paulista, Math Rock",3.68,737,,8
89,Anthem,Bound to Break,1987,Heavy Metal,3.73,169,,2
90,John Hiatt,Bring the Family,May-87,"Singer/Songwriter, Roots Rock, Americana",3.68,713,,36
91,The Brandos,Honor Among Thieves,1987,"Roots Rock, Power Pop",3.78,77,,3
92,The Steppes,Drop of the Creature,Jan-87,"Psychedelic Rock, Neo-Psychedelia",3.74,106,,2
93,Steve Reich,Early Works,1987,"Minimalism, Tape Music",3.67,806,,22
94,Ария [Aria],На службе силы зла,1987,Heavy Metal,3.66,446,,8
95,Strangeways,Native Sons,1987,AOR,3.67,204,,11
96,Whitesnake,Whitesnake,7-Apr-87,Hard Rock,3.62,2594,,93
97,Steve Reich and Musicians,Drumming,15-Sep-87,Minimalism,3.66,662,,15
98,Jane Siberry,The Walking,1987,"Art Pop, Progressive Pop",3.66,759,,23
99,John Cougar Mellencamp,The Lonesome Jubilee,Sep-87,Heartland Rock,3.67,739,,16
100,John Carpenter in Association With Alan Howarth,Prince of Darkness,1987,"Film Score, Horror Synth",3.72,182,,2
101,Christopher Young,Hellraiser,1987,"Film Score, Cinematic Classical",3.72,107,,2
102,Tony MacAlpine,Maximum Security,1987,Neoclassical Metal,3.67,372,,16
103,The Triffids,Calenture,Nov-87,"Indie Pop, Pop Rock",3.66,932,,42
104,Gene Clark & Carla Olson,So Rebellious a Lover,Apr-87,Country Rock,3.71,201,,9
105,Fleetwood Mac,Tango in the Night,13-Apr-87,"Pop Rock, Soft Rock",3.64,3471,,83
106,Boogie Down Productions,Criminal Minded,3-Mar-87,"East Coast Hip Hop, Boom Bap, Mid-School Hip Hop",3.64,2586,,78
107,Holy Terror,Terror and Submission,1987,Thrash Metal,3.66,609,,9
108,AMM,The Inexhaustible Document,1987,Free Improvisation,3.68,256,,3
109,Louis Tillett,Ego Tripping at the Gates of Hell,Nov-87,"Singer/Songwriter, Rock",3.79,71,,2
110,John Stewart,Punch the Big Guy,1987,"Folk Pop, Singer/Songwriter, Contemporary Folk",3.82,48,,3
111,Sumo,After chabón,1987,Post-Punk,3.67,416,,8
112,Midnight Oil,Diesel and Dust,Aug-87,"Pop Rock, Alternative Rock",3.65,1925,,57
113,Shy,Excess All Areas,1987,"AOR, Hard Rock",3.66,226,,8
114,Kauko Röyhkä & Narttu,Mielummin vanha kuin aikuinen,1987,"Rock, Singer/Songwriter",3.7,140,,3
115,Sarcófago,I.N.R.I.,Jul-87,"Black Metal, Thrash Metal",3.62,2618,,48
116,Pieter Nooten & Michael Brook,Sleeps With the Fishes,Oct-87,Ambient,3.67,591,,10
117,The Housemartins,The People Who Grinned Themselves to Death,Sep-87,"Jangle Pop, Indie Pop",3.66,850,,16
118,Pretty Maids,Future World,20-Apr-87,"Heavy Metal, Hard Rock",3.66,651,,18
119,Radio Futura,La canción de Juan Perro,1987,"Pop Rock, New Wave",3.67,320,,8
120,David Murray Octet,New Life,1987,Post-Bop,3.79,NA,NA,NA
1,Sonic Youth,Daydream Nation,18-Oct-88,"Noise Rock, Alternative Rock",4.05,27116,,495
2,Talk Talk,Spirit of Eden,16-Sep-88,Post-Rock,4.06,17157,,214
3,Pixies,Surfer Rosa,21-Mar-88,"Indie Rock, Alternative Rock",3.95,23583,,365
4,Iron Maiden,Seventh Son of a Seventh Son,11-Apr-88,Heavy Metal,3.95,11633,,270
5,Public Enemy,It Takes a Nation of Millions to Hold Us Back,14-Apr-88,"Political Hip Hop, East Coast Hip Hop, Hardcore Hip Hop, Conscious Hip Hop",3.92,12217,,262
6,Geinoh Yamashirogumi,Symphonic Suite AKIRA,27-Jul-88,"Film Score, Tribal Ambient",3.97,1851,,28
7,Scott Ross,L'œuvre pour clavier,1988,Baroque Music,4.11,55,,1
8,Metallica,...And Justice for All,25-Aug-88,Thrash Metal,3.8,21644,,577
9,Nick Cave and The Bad Seeds,Tender Prey,19-Sep-88,"Post-Punk, Gothic Rock",3.87,8214,,114
10,Bathory,Blood Fire Death,8-Oct-88,"Black Metal, Thrash Metal",3.85,7073,,111
11,Death,Leprosy,16-Nov-88,Death Metal,3.86,8139,,127
12,Slayer,South of Heaven,5-Jul-88,Thrash Metal,3.84,9389,,161
13,Helloween,Keeper of the Seven Keys Part II,29-Aug-88,Power Metal,3.82,4510,,85
14,Krystian Zimerman,4 Balladen; Barcarolle; Fantasie,8-Jul-88,Romanticism,3.91,345,,2
15,Emerson String Quartet,6 String Quartets,1988,"Modern Classical, Chamber Music",3.9,308,,7
16,Queensrÿche,Operation: Mindcrime,3-May-88,"Heavy Metal, Progressive Metal",3.79,6153,,204
17,Luben Yordanoff / Albert Tétard / Claude Desurmont / Daniel Barenboim,Quatuor pour la fin du temps,5-Apr-88,"Modern Classical, Chamber Music",3.86,964,,8
18,Riot,ThunderSteel,24-Mar-88,"Heavy Metal, US Power Metal, Power Metal",3.84,1707,,52
19,The Pogues,If I Should Fall From Grace With God,18-Jan-88,"Celtic Rock, Celtic Punk, Folk Rock",3.83,3581,,91
20,Ennio Morricone,Nuovo Cinema Paradiso,1988,"Film Score, Cinematic Classical",3.87,469,,4
21,Eric B. & Rakim,Follow the Leader,25-Jul-88,"East Coast Hip Hop, Boom Bap",3.81,3267,,72
22,James Horner,Willow,1988,"Film Score, Cinematic Classical",3.93,107,,1
23,My Bloody Valentine,Isn't Anything,21-Nov-88,"Noise Pop, Shoegaze",3.72,17570,,221
24,Crimson Glory,Transcendence,1-Nov-88,"Heavy Metal, US Power Metal",3.8,1662,,54
25,Voivod,Dimension Hatröss,29-Jun-88,"Progressive Metal, Technical Thrash Metal",3.79,3505,,62
26,King Diamond,"""Them""",18-Jul-88,Heavy Metal,3.8,2532,,36
27,The Waterboys,Fisherman's Blues,Nov-88,"Celtic Rock, Folk Rock",3.82,1986,,72
28,The Go-Betweens,16 Lovers Lane,Aug-88,"Jangle Pop, Indie Pop",3.8,3902,,93
29,Stephen Sondheim,Into the Woods [Original Cast Recording],1988,Show Tunes,3.84,192,,7
30,Boston Symphony Orchestra / Seiji Ozawa / Krystian Zimerman,Klavierkonzerte Nos. 1 & 2; Totentanz,11-Jul-88,"Romanticism, Concerto",3.88,172,,3
31,Razor,Violent Restitution,1988,Thrash Metal,3.8,1134,,24
32,Cocteau Twins,Blue Bell Knoll,19-Sep-88,Dream Pop,3.77,6526,,83
33,Ultramagnetic MC's,Critical Beatdown,4-Oct-88,"East Coast Hip Hop, Boom Bap",3.78,2437,,62
34,Coroner,Punishment for Decadence,1-Aug-88,"Technical Thrash Metal, Thrash Metal",3.8,2363,,40
35,Testament,The New Order,10-May-88,Thrash Metal,3.78,3462,,93
36,Chor und Orchester der Deutschen Oper Berlin / Eugen Jochum / Gundula Janowitz / Gerhard Stolze / Dietrich Fischer-DieskauChor der Deutschen Oper BerlinOrchester der Deutschen Oper BerlinEugen JochumGundula JanowitzGerhard StolzeDietrich Fischer-Dieskau,Carmina Burana,1-Aug-88,"Choral, Modern Classical",3.84,165,,8
37,Manolo Sanlúcar,Tauromagia,1988,Flamenco,3.88,99,,1
38,The English Concert / Trevor Pinnock,12 Concerti grossi Op. 6,1988,"Baroque Music, Concerto",3.86,133,,1
39,Orchestre et Chœur de la Radio-Télévision Polonaise de Cracovie / Jürg WyttenbachOrkiestra Polskiego Radia w KrakowieChór Polskiego Radia w KrakowieJürg Wyttenbach,Aion; Pfhat; Konx-Om-Pax,1988,"Microtonal Classical, Orchestral",3.8,340,,2
40,Patricio Rey y Sus Redonditos de Ricota,Un baión para el ojo idiota,9-May-88,"Blues Rock, Hard Rock",3.8,415,,9
41,Kult,Spokojnie,Dec-88,Post-Punk,3.79,1274,,14
42,Pet Shop Boys,Introspective,10-Oct-88,"Synthpop, Dance-Pop, Hi-NRG",3.76,3123,,50
43,Dead Can Dance,The Serpent's Egg,24-Oct-88,Neoclassical Darkwave,3.76,4077,,62
44,EPMD,Strictly Business,7-Jun-88,"East Coast Hip Hop, Boom Bap",3.76,2582,,75
45,Various Artists,Асса,1988,"Film Soundtrack, New Wave",3.84,109,,1
46,Arturo Benedetti Michelangeli,Préludes · Volume 2,21-Nov-88,Impressionism,3.81,313,,2
47,Running Wild,Port Royal,27-Sep-88,"Heavy Metal, Power Metal",3.75,1289,,17
48,Cardiacs,A Little Man and a House and the Whole World Window,21-Mar-88,"Progressive Rock, Art Punk, Zolo",3.74,2284,,53
49,Yvonne Loriod,Vingt regards sur l'enfant Jésus,1988,Modern Classical,3.81,164,,4
50,Astor Piazzolla,The Rough Dancer and the Cyclical Night (Tango Apasionado),May-88,Tango Nuevo,3.81,242,,5
51,Holy Terror,Mind Wars,1988,Thrash Metal,3.77,793,,16
52,James Horner,The Land Before Time,1-Nov-88,"Film Score, Cinematic Classical",3.8,186,,7
53,Itzhak Perlman,Sonaten und Partiten,1988,Baroque Music,3.87,64,,2
54,久石譲 [Joe Hisaishi],となりのトトロ  (Tonari no Totoro),1-May-88,"Film Score, Neoclassical New Age, Cinematic Classical",3.77,541,,3
55,N.W.A,Straight Outta Compton,8-Aug-88,"Gangsta Rap, West Coast Hip Hop",3.68,10189,,204
56,Galaxie 500,Today,1988,"Slowcore, Indie Pop, Dream Pop",3.71,5428,,48
57,Dinosaur Jr,Bug,31-Oct-88,"Noise Rock, Indie Rock, Alternative Rock, Lo-Fi / Slacker Rock",3.71,6638,,87
58,芸能山城組 [Geinoh Yamashirogumi],Akira,10-Oct-88,"Film Score, Tribal Ambient, Dark Ambient",3.77,299,,3
59,London Sinfonietta / Esa-Pekka Salonen / Paul Crossley,Des canyons aux étoiles; Oiseaux exotiques; Couleurs de la cité celesté,1988,"Modern Classical, Orchestral",3.84,60,,1
60,They Might Be Giants,Lincoln,Nov-88,"Indie Pop, Alternative Rock",3.72,3518,,77
61,La Chapelle Royale / Ensemble Musique Oblique / Philippe Herreweghe,Requiem (Version originale),1988,"Romanticism, Choral, Christian Liturgical Music",3.78,169,,1
62,Vio-Lence,Eternal Nightmare,27-Jun-88,Thrash Metal,3.73,1805,,73
63,Lucinda Williams,Lucinda Williams,1988,"Alt-Country, Americana, Singer/Songwriter",3.75,1009,,35
64,Кино [Kino],Группа крови,1988,"New Wave, Post-Punk",3.73,2442,,17
65,Anne Queffélec,Erik Satie (including Trois Gymnopédies),1988,"Impressionism, Modern Classical",3.86,NA,NA,NA
66,John Hiatt,Slow Turning,30-Aug-88,"Singer/Songwriter, Americana",3.75,483,,18
67,Michael Nyman,Drowning by Numbers,1988,"Post-Minimalism, Film Score",3.75,409,,5
68,Anthem,Gypsy Ways,21-May-88,Heavy Metal,3.8,129,,3
69,Michel Petrucciani,Michel Plays Petrucciani,1988,Jazz,3.81,115,,3
70,Alicia de Larrocha,Iberia; Navarra; Suite española,19-Feb-88,"Spanish Classical Music, Impressionism",3.8,103,,1
71,Morbid Saint,Lock Up Your Children,Sep-88,Thrash Metal,3.86,NA,NA,NA
72,Sadus,Illusions,1988,"Thrash Metal, Technical Thrash Metal",3.71,1554,,33
73,Mary Margaret O'Hara,Miss America,1988,Singer/Songwriter,3.72,934,,39
74,The Church,Starfish,16-Feb-88,"Jangle Pop, Neo-Psychedelia, Dream Pop",3.69,3293,,85
75,Leonard Cohen,I'm Your Man,Feb-88,"Singer/Songwriter, Sophisti-Pop",3.68,4518,,96
76,KAT,Oddech wymarłych światów,May-88,Thrash Metal,3.7,675,,8
77,Steve Roach,Dreamtime Return,1988,"Tribal Ambient, Ambient",3.69,1933,,41
78,Ram Narayan / Suresh Talwalkar,Rāg Bhūpāl Torī; Rāg Paṭdīp,1988,Hindustani Classical Music,3.89,NA,NA,NA
79,Nuno Canavarro,Plux Quba,1988,"Tape Music, Electroacoustic",3.69,2117,,23
80,Michelle Shocked,Short Sharp Shocked,15-Aug-88,"Singer/Songwriter, Folk Rock, Alt-Country",3.72,476,,19
81,Vicious Rumors,Digital Dictator,9-Feb-88,"Heavy Metal, US Power Metal",3.7,560,,17
82,Leevi and the Leavings,Häntä koipien välissä,1988,Pop Rock,3.7,306,,7
83,Morrissey,Viva Hate,14-Mar-88,Jangle Pop,3.67,5131,,96
84,Danzig,Danzig,30-Aug-88,"Hard Rock, Heavy Metal",3.66,4005,,69
85,London Symphony Orchestra / István Kertész / Christa Ludwig / Walter Berry,Bluebeard's Castle,1988,"Opera, Modern Classical",3.83,61,,2
86,City of London Sinfonia / The Cambridge Singers / John Rutter / Caroline Ashton / Stephen Varcoe / Simon Standage,Requiem; Messe basse; Cantique de Jean Racine,1988,"Romanticism, Choral",3.77,43,,1
87,Tracy Chapman,Tracy Chapman,5-Apr-88,"Singer/Songwriter, Folk Rock",3.68,3720,,79
88,Helstar,A Distant Thunder,29-Nov-88,"Heavy Metal, Power Metal, US Power Metal",3.68,654,,15
89,The Art Farmer Quintet,Blame It on My Youth,1988,Jazz,3.79,89,,2
90,Scanner,Hypertrace,1988,"Power Metal, Speed Metal",3.69,623,,19
91,New Model Army,Radio Sessions '83-'84,1988,Post-Punk,3.83,73,,1
92,Flotsam and Jetsam,No Place for Disgrace,31-May-88,Thrash Metal,3.68,1004,,29
93,Liege Lord,Master Control,19-Aug-88,"Speed Metal, US Power Metal, Heavy Metal",3.68,768,,14
94,Traveling Wilburys,"Traveling Wilburys, Vol. 1",18-Oct-88,Pop Rock,3.66,2659,,108
95,Pestilence,Malleus Maleficarum,Sep-88,Thrash Metal,3.67,1431,,25
96,NoMeansNo,Small Parts Isolated and Destroyed,May-88,Post-Hardcore,3.69,787,,11
97,Obywatel G.C.,Tak! Tak!,1988,New Wave,3.7,448,,5
98,The English Concert & Choir / Trevor Pinnock / Arleen Auger / Anne Sofie von Otter / Michael Chance / Howard Crook / John TomlinsonThe English ConcertThe Choir of the English ConcertTrevor PinnockArleen AugerAnne Sofie von OtterMichael ChanceHoward CrookJohn Tomlinson,Messiah,1988,"Baroque Music, Oratorio",3.78,96,,1
99,Янка и Великие Октябри,Деклассированным элементам,1988,"Post-Punk, Singer/Songwriter",3.71,217,,2
100,Caifanes,Caifanes,28-Aug-88,Post-Punk,3.69,663,,10
101,Fields of the Nephilim,The Nephilim,Sep-88,Gothic Rock,3.67,1436,,18
102,The Cynics,Twelve Flights Üp,1988,Garage Rock Revival,3.77,NA,NA,NA
103,Keith Whitley,Don't Close Your Eyes,1988,Contemporary Country,3.82,54,,1
104,Candlemass,Ancient Dreams,23-Nov-88,"Traditional Doom Metal, Doom Metal, Epic Doom Metal",3.66,1870,,36
105,Jonathan Richman & The Modern Lovers,Modern Lovers 88,Feb-88,"Rock & Roll, Pop Rock",3.69,327,,9
106,Jane's Addiction,Nothing's Shocking,23-Aug-88,"Alternative Rock, Hard Rock",3.63,5011,,119
107,Cowboy Junkies,The Trinity Session,15-Nov-88,"Alt-Country, Contemporary Folk",3.66,2156,,65
108,Forbidden,Forbidden Evil,30-Sep-88,Thrash Metal,3.66,1382,,40
